,,Name (click to view profile),Date,Likes,isHearted,isPinned,Comment,Profile ID,Comment ID,Comment URL
59,,@teyoshariff5598,30/01/2023 20:13,0,no,no,"Scientist: "" We don't know what it is,but it exists
Women: "" I don't know who she is but you are cheating""",UCmJqSZaTay5Xw2AkMLdYC3w,UgxVlrJIwKXXMCu3bsh4AaABAg,https://www.youtube.com/watch?v=HneiEA1B8ks&lc=UgxVlrJIwKXXMCu3bsh4AaABAg
60,,@AliceThomas-zx5zh,1/02/2023 16:10,0,no,no,Thank you for this enjoyable video.,UCfuVcAU0TYDWGyew0Mu5D-g,UgyIBeMNo9_AtoHdMnR4AaABAg,https://www.youtube.com/watch?v=HneiEA1B8ks&lc=UgyIBeMNo9_AtoHdMnR4AaABAg
61,,@hope-.,18/02/2023 12:12,1,no,no,"No matter how dark the future of dark matter might be, let's be hopeful that the future turns bright. Kudos to all physicists, Scientists and every philosopher in the past from all parts of the world. We've become what we are because of y'all.",UCr-D6AOw3wnTutqr00mq-UQ,UgxM7k1Cfbzmbyg91Dt4AaABAg,https://www.youtube.com/watch?v=HneiEA1B8ks&lc=UgxM7k1Cfbzmbyg91Dt4AaABAg
62,,@sushantbagale.02202,8/03/2023 16:22,1,no,no,"Leuccipus didnt CAME up of the idea of atoms. It was actually Hindu Philosopher, Maharshi Kapila who actually came up with wayyyyy before him. The actual truth nowadays arent told because the truth was edited in the history of so-called Great countries",UC15pH8AlNeNSrLliRisDHdg,Ugy44gurx4gqt4wlf2F4AaABAg,https://www.youtube.com/watch?v=HneiEA1B8ks&lc=Ugy44gurx4gqt4wlf2F4AaABAg
63,,@smlyblkct,11/03/2023 3:24,0,no,no,Where am i .......,UC_v908NI90Ck-kFdyUkZkvQ,UgyrgupyLiiuw7FVAWZ4AaABAg,https://www.youtube.com/watch?v=HneiEA1B8ks&lc=UgyrgupyLiiuw7FVAWZ4AaABAg
64,,@vaultdweller123,14/04/2023 4:03,0,no,no,whatever dark matter is.... one thing is for sure.... an ant should not care about what electricity is all about 😄,UCCqLbIbu29ufpL651zTjlMA,Ugy7iBm-usaQmh_aGZN4AaABAg,https://www.youtube.com/watch?v=HneiEA1B8ks&lc=Ugy7iBm-usaQmh_aGZN4AaABAg
65,,@ZacharyShank,12/05/2023 2:43,0,no,no,I love the intro music.,UCKJZnsuUdd0b6A-VNX2hB1Q,UgxFEVLJ1vEBhmvPDhp4AaABAg,https://www.youtube.com/watch?v=HneiEA1B8ks&lc=UgxFEVLJ1vEBhmvPDhp4AaABAg
66,,@douglasking9383,14/05/2023 0:06,0,no,no,"There is no dark matter. It exists as a result of scientists fundamental misunderstanding of the comparison of the configurations of a solar system and a galaxy. You say they are the same but there are not. The solar system is like a system of balls orbiting around a central ball. Gravity holds the solar system in that particular configuration. The result is the inner balls orbit more quickly than the outer balls. Then you made the mistake of visualizing the galaxies as a similar system of balls orbiting around a central point. That is, in fact, not the case at all. Have you ever heard of an amusement park ride called The Octopus? It’s an attraction that has several seats located along the tentacles of the 'octopus' that radiate outward. The patrons sit on the seats which are flung around on these tentacles at speed. The thing about this ride is it resembles very closely how spinning galaxies look face on. Gravity, in the case of the galaxies, holds the stars in a similar manner to seats on our Octopus. Gravity binds the stars within chains of fellow stars that radiate out of the central point of the galaxy, like tentacles of an octopus. That's the galaxy's configuration, which is different from that of the solar system. You may observe that the Octopus tentacles orbit the centre at a constant speed so that the inner seats move at the same speed as the outer seats. Now imagine that the tentacles of our amusement park Octopus are flexible so that the outer seats are whipped out at a greater speed than the inner seats. This is exactly what we see with galaxies, the outer stars are moving faster than the inner stars because of this whipping effect. Nowhere in my explanation does it require the existence of so-called ""dark matter"". 

If we picture the Universe as a spiral, not too dissimilar to a galaxy where the 'stars' are galaxies, then the red shift is just an indication of the furthest galaxies being whipped about like the arms of the galaxies. No dark matter needed. The existence of dark energy can be explained by substituting dark matter in its place. Unless you can provide an example that can be explained with dark energy exclusively, I don't see the need for dark energy at all. I hate to say it, but you scientists have been so buried in your formulas that you can't see the simple solutions that are staring you right in the face.",UCqFcRq6ABvDujfSf7ATLn5g,UgxB57vDWV3ZEwKwsxl4AaABAg,https://www.youtube.com/watch?v=HneiEA1B8ks&lc=UgxB57vDWV3ZEwKwsxl4AaABAg
67,,@jkingdesigns180,14/05/2023 19:01,0,no,no,it's funny how in the Bible that darkness was all about and God had to set up light and had to separate the two🥲,UC6kTDv33aPrKh-dgTGcFXpw,Ugyo_7PiMznpvoOHyBF4AaABAg,https://www.youtube.com/watch?v=HneiEA1B8ks&lc=Ugyo_7PiMznpvoOHyBF4AaABAg
68,,@dickymon4195,19/05/2023 11:43,0,no,no,What's the matter?,UC5IC4ijKxncCSBqkqL5GIEQ,UgwQ5hJt3-uB2qNDUZR4AaABAg,https://www.youtube.com/watch?v=HneiEA1B8ks&lc=UgwQ5hJt3-uB2qNDUZR4AaABAg
69,,@ibrahimpawanteh2025,24/05/2023 7:13,0,no,no,Dark matter is some kind of invisible matter in superfluid form.,UCDDLsRgsuxwL2IY4gBJUukg,Ugx7HNgWWKBLoHbx2f14AaABAg,https://www.youtube.com/watch?v=HneiEA1B8ks&lc=Ugx7HNgWWKBLoHbx2f14AaABAg
70,,@luisRG17,31/05/2023 4:12,0,no,no,"One thing, how can earth be so ordinary if it has life? I would say it was ordinary if it were only a rocky planet, or if life was more common in the universe. I think earth is pretty special, or am I a being a little biased?",UC--E-2vdxsCtw0c0T-l3mXA,UgwxcM8DuSmdTIbsjp14AaABAg,https://www.youtube.com/watch?v=HneiEA1B8ks&lc=UgwxcM8DuSmdTIbsjp14AaABAg
71,,@andressolo,1/06/2023 8:56,0,no,no,"""As far as we know, we are the only species in the Universe capable of grasping..."". As far as I know, science contemplates EVERYTHING as a possibility. Therefore, there is no more likelihood for humans to be unique in any sense than for the opposite. 

As far as we know, we may not know anything; in case we actually exist, which can't even be proven. The fact that we don't know something doesn't make it less likely to be the case. Therefore, I think it's incorrect to refer to humans as ""the only species that can..."" even if we add ""as far as we know"". Because ""as far as we know"", we can't assure anything. At least from a scientific perspective. 

Or am I wrong?",UCBAEUr3N0suzYIL0fth-E5A,UgzMrtuAON9Uut8utbB4AaABAg,https://www.youtube.com/watch?v=HneiEA1B8ks&lc=UgzMrtuAON9Uut8utbB4AaABAg
