comment_author,comment_time,comment_text,post_url
higgs_boson666,2023-11-18 20:10:49,"I totally disagree that we know 20% of the universe because for knowing 20% of the universe. We shouldn't know what is the 100% of our universe. We don't know what are the limits of the universe. And big Bang is just a hypothesis.
So, according to me we don't even 10×10-?? percent of the universe is Because we don't even know the limits of the universe. So a thing which is a limitless show. We can't like say what our knowledge is a twenty percent The universe",https://www.instagram.com/reel/CvFRyO7gA-1/?igsh=MWo0YzlsOXgwMGs0Nw==
higgs_boson666,2023-11-18 20:07:34,@tristis_mercurii  sir/mam I am very interested  if you mind explain  it to me,https://www.instagram.com/reel/CvFRyO7gA-1/?igsh=MWo0YzlsOXgwMGs0Nw==
greatnessbaby805,2023-11-14 19:19:40,"I know of Dark Matter and it Particles,,., lifes biggest question ?????",https://www.instagram.com/reel/CvFRyO7gA-1/?igsh=MWo0YzlsOXgwMGs0Nw==
everestjumper,2023-10-19 14:24:50,"one word, WOW, AMAZING I AM AT A LOST FOR WORDS, I wanna know just what is out there.
Thank for all your help",https://www.instagram.com/reel/CvFRyO7gA-1/?igsh=MWo0YzlsOXgwMGs0Nw==
achromicboy,2023-10-17 00:36:20,There is NO proof and NO evidence about the properties of dark matter,https://www.instagram.com/reel/CvFRyO7gA-1/?igsh=MWo0YzlsOXgwMGs0Nw==
edmacieje,2023-09-30 11:42:53,No. Dark matter is a fudge factor to hide the fact that general relativity has a flaw which morons have elevated to a religion.,https://www.instagram.com/reel/CvFRyO7gA-1/?igsh=MWo0YzlsOXgwMGs0Nw==
noooon.12.11,2023-09-30 09:16:17,"So why is  light absorbed by black holes, if dark matter doesn't absorb light?",https://www.instagram.com/reel/CvFRyO7gA-1/?igsh=MWo0YzlsOXgwMGs0Nw==
frank_lo_strano,2023-09-27 11:17:30,"@caroline_pal.mer we don't know much about dark stuff in general, even tho there are some theories both for dark energy and for dark matter. They're still not convincing nor proven",https://www.instagram.com/reel/CvFRyO7gA-1/?igsh=MWo0YzlsOXgwMGs0Nw==
caroline_pal.mer,2023-09-27 07:43:46,@frank_lo_strano so basically dark matter is the stuff we dont know?,https://www.instagram.com/reel/CvFRyO7gA-1/?igsh=MWo0YzlsOXgwMGs0Nw==
dockamalnabha,2023-09-22 16:36:09,"Wrong, dark matter makes up 95.1% of the universe. Everything we have ever studied makes up only 4.9%",https://www.instagram.com/reel/CvFRyO7gA-1/?igsh=MWo0YzlsOXgwMGs0Nw==
coldwindofdecember,2023-09-21 04:46:09,Actually that 20% might be just 1%,https://www.instagram.com/reel/CvFRyO7gA-1/?igsh=MWo0YzlsOXgwMGs0Nw==
albertsongman,2023-08-29 22:09:06,Dark matter & energy is probably inter dimensional substance that we dont have the equipment to truly observe.,https://www.instagram.com/reel/CvFRyO7gA-1/?igsh=MWo0YzlsOXgwMGs0Nw==
harshgodara84,2023-08-29 20:24:46,"How do you know it's only 20% when you dont know what 100% is , maybe its just 1%",https://www.instagram.com/reel/CvFRyO7gA-1/?igsh=MWo0YzlsOXgwMGs0Nw==
croissants.and.coffee,2023-08-29 01:06:44,"I hate this whole link tree trend. It actually turns me off of subscribing. It's fine for onlyfans models, nit for a science channel. Step-1 watch the reel, step-2 read the description ; description says watch the whole video link in bio, Step-3 Go to bio, Step-4 Bio has link tree link, Step-5 open browser and go to collection of links Step-6 Go to website that has the video Step-7 Finally watch it.  NO THANKS!!",https://www.instagram.com/reel/CvFRyO7gA-1/?igsh=MWo0YzlsOXgwMGs0Nw==
lionelkrupka,2023-08-28 04:52:59,@paul17.98 let us know if you find it !,https://www.instagram.com/reel/CvFRyO7gA-1/?igsh=MWo0YzlsOXgwMGs0Nw==
paul17.98,2023-08-28 00:53:08,Where's the full video?,https://www.instagram.com/reel/CvFRyO7gA-1/?igsh=MWo0YzlsOXgwMGs0Nw==
davinuzza,2023-08-27 15:08:47,"I know maybe this is wrong but In my opinion ( if i can speak ) let's think dark matter is gravity it self and you can imagine it like atmosphere, more further you from the surface the thin-er ( less-er ) the effect on you. So you can explain why some area in our universe have a unknown field of gravitation force but not attached in regular mater whatsoever cause it doesn't absorb photon",https://www.instagram.com/reel/CvFRyO7gA-1/?igsh=MWo0YzlsOXgwMGs0Nw==
dillon_perfectmyself1111,2023-08-27 05:09:31,Great,https://www.instagram.com/reel/CvFRyO7gA-1/?igsh=MWo0YzlsOXgwMGs0Nw==
mercuriimors,2023-08-25 17:17:56,I would like to hypothesize that dark matter is in a completely different time field or zone or reality than us so beyond us in a way that we cannot observe it.,https://www.instagram.com/reel/CvFRyO7gA-1/?igsh=MWo0YzlsOXgwMGs0Nw==
jamesgluz,2023-08-25 12:19:41,"and know how you define ""creates gravity"" 1. dark matter has a gravitation field. 2. dark matter is what allows  matter to generate a gravitational field.",https://www.instagram.com/reel/CvFRyO7gA-1/?igsh=MWo0YzlsOXgwMGs0Nw==
hellotan90,2023-08-25 09:22:29,This is so interesting! The universe is truly full of @mit .,https://www.instagram.com/reel/CvFRyO7gA-1/?igsh=MWo0YzlsOXgwMGs0Nw==
switchxhands,2023-08-24 05:18:05,How did you know that it is dark?  Or it is a matter?,https://www.instagram.com/reel/CvFRyO7gA-1/?igsh=MWo0YzlsOXgwMGs0Nw==
pryajn_malhotra,2023-08-23 08:07:20,Dark matter is a matter that is dark ??,https://www.instagram.com/reel/CvFRyO7gA-1/?igsh=MWo0YzlsOXgwMGs0Nw==
iam_hmkd,2023-08-22 01:23:18,So weve discovered 20% of the universe but only 5% of our own oceans? ??,https://www.instagram.com/reel/CvFRyO7gA-1/?igsh=MWo0YzlsOXgwMGs0Nw==
herrphysiker,2023-08-21 11:33:30,"""Dark matter"" is so a misleading term, it should be named ""invisible matter""",https://www.instagram.com/reel/CvFRyO7gA-1/?igsh=MWo0YzlsOXgwMGs0Nw==
haseebkhan6402,2023-08-19 19:37:17,Does it really matter?,https://www.instagram.com/reel/CvFRyO7gA-1/?igsh=MWo0YzlsOXgwMGs0Nw==
aliumarr.3,2023-08-19 06:44:55,"But isn't the massive mass of an object causing rip in space and time fabric, creating gravity?",https://www.instagram.com/reel/CvFRyO7gA-1/?igsh=MWo0YzlsOXgwMGs0Nw==
s1mply.nimish._.0,2023-08-19 05:18:59,"It would take billions of years to travel the whole universe even if we travel with the speed of light. So, pretty sure that we are nowhere close to studying even 10% of the observable universe. We've studied 20% of our solar system. Not even our galaxy.",https://www.instagram.com/reel/CvFRyO7gA-1/?igsh=MWo0YzlsOXgwMGs0Nw==
