"video_id","video_title","comment_author","comment_text"
"QAa2O_8wBUQ","What is Dark Matter and Dark Energy?","@dee7665","The bible says the earth was here before it was formed, so earth was once hidden in dark matter possibly"
"QAa2O_8wBUQ","What is Dark Matter and Dark Energy?","@bakkermaarten007","Slowly but surely science arrives back again to God, the unexplainable."
"QAa2O_8wBUQ","What is Dark Matter and Dark Energy?","@CREAMBOP","Thank uu the video was amazing!! It’s also kinda funny how what we only really know is what we dont loll :))"
"QAa2O_8wBUQ","What is Dark Matter and Dark Energy?","@a0001521","Combine: ""Time to make guns out of it"""
"QAa2O_8wBUQ","What is Dark Matter and Dark Energy?","@nimishachowdhury4577","Such a good video!  Made a difficult topic so easy to understand. Brilliant!"
"QAa2O_8wBUQ","What is Dark Matter and Dark Energy?","@sugandhasharma7886","Dark energy krishna ne banaya hai 🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣"
"QAa2O_8wBUQ","What is Dark Matter and Dark Energy?","@Persistence_run_444","So, it’s like an ether?"
"QAa2O_8wBUQ","What is Dark Matter and Dark Energy?","@ivodraschkow6019","According to my theory, ""dark energy"" is an energy source of precosmic origin and, based on Darwinian development, the basis of all energies and substances known to us - space and time also originate from it. It is therefore neither a resulting nor an additional factor since a ""Big Bang"". The universe is an open and not a closed system - because the fact that we should exist under laboratory conditions is an unfounded scientific assumption that also seems completely unnatural. Physical, chemical and biological processes are sets of rules that build on each other - and are preceded by at least one even more fundamental one."
"QAa2O_8wBUQ","What is Dark Matter and Dark Energy?","@juice534","Don’t know what they are but can measure it ??"
"QAa2O_8wBUQ","What is Dark Matter and Dark Energy?","@PrinceD-fo4pk","Really cool explanation!!"
"QAa2O_8wBUQ","What is Dark Matter and Dark Energy?","@rickxboy7397","Dark mater are photon"
"QAa2O_8wBUQ","What is Dark Matter and Dark Energy?","@Titaniumacademy12","Pls explain translation in Hindi"
"QAa2O_8wBUQ","What is Dark Matter and Dark Energy?","@maxpower8850","So what I’m getting out of it is that dark matter is like the packing peanuts of space ?"
"QAa2O_8wBUQ","What is Dark Matter and Dark Energy?","@roberthypes6149","Could dark matter and dark energy be a byproduct of time dilation?"
"QAa2O_8wBUQ","What is Dark Matter and Dark Energy?","@coolz123123","So basically dark matter is just a concept to convince ourselves that we figured something out when we didn’t 😂 interesting"
"QAa2O_8wBUQ","What is Dark Matter and Dark Energy?","@tanuljegyszeruen6864","I love how this video is 8 years old, and just came across now, although I've been watching for 2 years."
"6Fx8LprPMIU","Pearl Jam - Dark Matter (Official Visualizer)","@Dems-fk8sh","I bought Ten when it was released in 1991 and I'll buy this one when it will be released next month. As simple as that. Some habits shouldn't change."
"6Fx8LprPMIU","Pearl Jam - Dark Matter (Official Visualizer)","@amyvandyk5350","OOOHH YEAH!!!"
"6Fx8LprPMIU","Pearl Jam - Dark Matter (Official Visualizer)","@ZuGineeris","Mike MccReady, kicking ass as always!"
"6Fx8LprPMIU","Pearl Jam - Dark Matter (Official Visualizer)","@jeffreykipperman6894","Pearl Jam is back baby!"
"6Fx8LprPMIU","Pearl Jam - Dark Matter (Official Visualizer)","@SuperCrazyPsycho731","Going back to a metal sound like the first two albums or reverses I guess since this is more raw like that. Anyway, great idea. I don't even care if you put reverb on everything like 10"
"6Fx8LprPMIU","Pearl Jam - Dark Matter (Official Visualizer)","@nanobugs933","Cant wait for the full thing"
"6Fx8LprPMIU","Pearl Jam - Dark Matter (Official Visualizer)","@tomferguson9250","Great track but I wish Eddie's vocals could've been cleaned\boosted a bit. Think of Temple of the Dog, Ten & Versus from the old days."
"6Fx8LprPMIU","Pearl Jam - Dark Matter (Official Visualizer)","@dewiwilliams4821","Anyone else going to the cinema to hear the new album on 16th April, 3 days before release?"
"6Fx8LprPMIU","Pearl Jam - Dark Matter (Official Visualizer)","@ericjayfederizo3549","Didn't knew Pearl jam has a new album. Sounds really good"
"6Fx8LprPMIU","Pearl Jam - Dark Matter (Official Visualizer)","@patriotonthewarpath6287","March 25th, 2020, my first granddaughter was born into this madness of a world  , they released escape 😳 on that day. March 22,2024, my second granddaughter was born, and then guys dropped running.  My oldest daughter was born on june 10th of 1991, with the title of their first album ten. I'm not sure what it all means 🤔  but it's fukin cool to me.."
"6Fx8LprPMIU","Pearl Jam - Dark Matter (Official Visualizer)","@remmal4004","Pearl Jam is lost 😢 Very sady"
"6Fx8LprPMIU","Pearl Jam - Dark Matter (Official Visualizer)","@JorgaMiron","Welcome back ❤"
"6Fx8LprPMIU","Pearl Jam - Dark Matter (Official Visualizer)","@ryanweisenberger1869","Drums on this album kick."
"6Fx8LprPMIU","Pearl Jam - Dark Matter (Official Visualizer)","@lilianauriarte7860","Yes ... love it !!! 😍🥰🤩❤️"
"6Fx8LprPMIU","Pearl Jam - Dark Matter (Official Visualizer)","@dannyhitt4360","Wow!!! On par with the hits!!"
"6Fx8LprPMIU","Pearl Jam - Dark Matter (Official Visualizer)","@ThomasFullery","Now THIS is the Pearl Jam I know and love 🤘"
"6Fx8LprPMIU","Pearl Jam - Dark Matter (Official Visualizer)","@Eisonhawk","🫡"
"6Fx8LprPMIU","Pearl Jam - Dark Matter (Official Visualizer)","@LizMcTeague","Steal the lights from our eyes Take my blood from my heart We're in all of this dark matter  Take the breaths from my chest Take the pulse and I'm outta line We're losing time, dark matter  Denounce the demagogues King diamond to discard Deplore the dialogue Your word against the law  It's strange these days When everybody else pays For someone else's mistake This blame takes shape Still everybody else pays For someone else's mistake  You're running away We're pulling apart In all of this dark matter  I once heard a sin And now it's stuck in my head Or is it the press? No one knows what happens next  Renounce the demigods King diamond to discard Deplore the dialogue Your word against the law  It's strange these days When everybody else pays For someone else's mistake This blame takes shape Still everybody else pays For someone else's mistake  No tolerance for intolerance, intolerance for- No patience left for impatience no more No love lost for lost loves No sorrow for the unaccountable  It's strange these days When everybody else pays For someone else's mistake This blame takes shape Still everybody else pays For someone else's mistake"
"6Fx8LprPMIU","Pearl Jam - Dark Matter (Official Visualizer)","@robertbondurant5223","lyrics should be mandatory on all pearl jam videos!!"
"6Fx8LprPMIU","Pearl Jam - Dark Matter (Official Visualizer)","@mitchyG90210","Pearl Jam still rockin it like nothing else !!!!!"
"6Fx8LprPMIU","Pearl Jam - Dark Matter (Official Visualizer)","@thehotyounggrandpas8207","I remember the first time I ever saw them on MTV. Never expected to still be seeing them when I was 50."
"6Fx8LprPMIU","Pearl Jam - Dark Matter (Official Visualizer)","@jessemiller3171","I never thought I would see the day when Pearl Jam sounded like Bush only with fuzzier vocals."
"6Fx8LprPMIU","Pearl Jam - Dark Matter (Official Visualizer)","@thefixer3158","It's like a relationship that went through a rough patch, after they endorsed the vaccines and then did corporate private shows and were friends with war criminals I felt very betrayed, like the love of my life was lying to me this whole time, I've learned to forgive and remember it's the music I fell in love with, I do love these guys even though my beliefs might not always align with theirs, their music has played a very important role in my life and made me who I am, I've been following them since I was 14 and seen them 26 times in multiple countries. They got me playing gigs which I've been doing for 16 years live, this has touched my life and many more around me, their music goes beyond what you hear. Thank PJ, I can't wait to see you in the Gold Coast where I will be deploying as many inflatable beach balls as I can smuggle in."
"6Fx8LprPMIU","Pearl Jam - Dark Matter (Official Visualizer)","@DylanRutter","Drums so good on this one"
"6Fx8LprPMIU","Pearl Jam - Dark Matter (Official Visualizer)","@eliaspuskas5219","Pearl Jam está certo, tem que fazer um álbum político e olha que ouvi só duas músicas até agora, é preciso frear esse avanço do pensamento de extrema direita reacionária e Eddie Vedder e cia estão captando o momento atual...👏👏"
"6Fx8LprPMIU","Pearl Jam - Dark Matter (Official Visualizer)","@JandroSthen78","❤❤❤"
"6Fx8LprPMIU","Pearl Jam - Dark Matter (Official Visualizer)","@Potato-6373","Great song"
"6Fx8LprPMIU","Pearl Jam - Dark Matter (Official Visualizer)","@NeBuLiSt","Probably the only band in history to stay 100% pure and full of the energy they started with, without falter, without fail, they always deliver the best energy on the planet!!!!!"
"6Fx8LprPMIU","Pearl Jam - Dark Matter (Official Visualizer)","@CaptKaboom","Had this stuck in my head.  Couldn't figure out who it was with internet.  Google said press home button and ask to identify song.  It did.  Thank you technology."
"6Fx8LprPMIU","Pearl Jam - Dark Matter (Official Visualizer)","@alfou996","Love it"
"6Fx8LprPMIU","Pearl Jam - Dark Matter (Official Visualizer)","@lukinliver569","mi avete tradito col green pass.. maledetti"
"6Fx8LprPMIU","Pearl Jam - Dark Matter (Official Visualizer)","@danebono7667","Sounds like an Andrew Watt song. That isn't a compliment.  *To clarify, the songwriting and lyrics are fine. The mix, however, is another overcompressed victim of the Loudness Wars*"
"6Fx8LprPMIU","Pearl Jam - Dark Matter (Official Visualizer)","@bobpenney9973","Been here since Ten 🤘🏽"
"6Fx8LprPMIU","Pearl Jam - Dark Matter (Official Visualizer)","@patking2592","Has anyone asked @jaythebirdthatsings how he feels about this?"
"6Fx8LprPMIU","Pearl Jam - Dark Matter (Official Visualizer)","@MarcAaronburnerAcct","Running will be release tonight at midnight"
"6Fx8LprPMIU","Pearl Jam - Dark Matter (Official Visualizer)","@janisjoplin2843","I am holding of happy tears! Pearl Jam is back and that makes me so emotional."
"6Fx8LprPMIU","Pearl Jam - Dark Matter (Official Visualizer)","@davidmarchewka703","My wife and i got tix for Wrigley Field this September....the day i won the lottery for the tix is one of the happiest days....this will be the second time to see them live after buying 10 when i was 23 in 1991"
"6Fx8LprPMIU","Pearl Jam - Dark Matter (Official Visualizer)","@user-ei8gf6nw6l","This is a family-run company. Nice to meet you. Theres something I really want to tell you. Japan face lion Everyone has a lion thanks to KORE1.I was writing a novel.2. Face like a lion3.I quit my jobThose three are his KOREThey are called KOREBecause of his KORE power KOREs sacrifice (Environment Culture Customs Nature Media Brains Men LGBT Society Human Race Animals Sacrifice related to them KORE is a legend of sacrifice by them) Everyone has a lionKORE　KORE　KORE　Legend　Legend　Because it has a face like a lion OK　OK　OK　A face like a lion　OK　OK　OK　OK　OK　OK　KORE　KORE KORE　Legend　Legend China etc. has a face like a lion NO NO NO NO but Japan is different Because of KORE KORE legend legend"
"6Fx8LprPMIU","Pearl Jam - Dark Matter (Official Visualizer)","@balkee42","Best track theyve released since Unthought Known"
"6Fx8LprPMIU","Pearl Jam - Dark Matter (Official Visualizer)","@Link-ji7kx","Man, it’s been a while since I’ve heard a new song from an older band that I actually really dig 🤘🏻  It’s refreshing 👍🏻"
"6Fx8LprPMIU","Pearl Jam - Dark Matter (Official Visualizer)","@jeremysperry7751","After 30 years I still can't understand a FUCKING THING THIS GUY IS SAYING"
