,,"Name (click to view profile)",Date,Likes,isHearted,isPinned,Comment,"Profile ID","Comment ID","Comment URL"
43,,@backspace8637,"2024-04-06 15:37:25",0,no,no,"Collaboration We Wanted:
JJK X ASTRONOMY",UCe1qN_JehXVkr0-h2Fq21-Q,UgzS4Cv9ASu3fqad1sR4AaABAg,https://www.youtube.com/watch?v=aoe6BC6TZMg&lc=UgzS4Cv9ASu3fqad1sR4AaABAg
44,,@worthy-man,"2024-04-06 16:27:04",0,no,no,"Guys The dark matter theory has been completely erased.",UC_RkSAEOuaZl0gBXbm_NXGA,UgyL-Dn2CCXZbCKgUZp4AaABAg,https://www.youtube.com/watch?v=aoe6BC6TZMg&lc=UgyL-Dn2CCXZbCKgUZp4AaABAg
45,,@GREY_0.10,"2024-04-06 17:22:00",0,no,no,"Gojo can do both",UCYQJFOWuul3KjTXkG9LOTfw,Ugz-3Z9nvVmzMYiR17V4AaABAg,https://www.youtube.com/watch?v=aoe6BC6TZMg&lc=Ugz-3Z9nvVmzMYiR17V4AaABAg
46,,@mansiameri8527,"2024-04-06 20:27:35",0,no,no,"Jjk edit:❌️
Universe edit:✅️",UCL5C200hTJgy3qD0VH6fduw,UgzwjTb6H01c6xxnMx14AaABAg,https://www.youtube.com/watch?v=aoe6BC6TZMg&lc=UgzwjTb6H01c6xxnMx14AaABAg
47,,@Tonybaloneyeditz,"2024-04-06 21:07:39",0,no,no,DARK🗣️,UCMlJID5OjI8duMObgW9YWCA,UgxLaY9VnZ7e3brA5vx4AaABAg,https://www.youtube.com/watch?v=aoe6BC6TZMg&lc=UgxLaY9VnZ7e3brA5vx4AaABAg
48,,@The_sleepy_one112,"2024-04-06 22:25:35",0,no,no,"EVEN THE LIGHT OF HOPE SPARKS BLACK🗣🗣🗣💯💯💯🔥🔥🔥",UCc6iBj9sPAzZkKkeRH3T5TA,UgwFgNsTEkfYZQru-TR4AaABAg,https://www.youtube.com/watch?v=aoe6BC6TZMg&lc=UgwFgNsTEkfYZQru-TR4AaABAg
49,,@torassiregarchannel7053,"2024-04-06 23:13:04",1,no,no,"Nah bro forget the dark knight",UCx-cLkBvQKnezNJM_LzWJWg,Ugxs65AC1Qf5kPS5ASZ4AaABAg,https://www.youtube.com/watch?v=aoe6BC6TZMg&lc=Ugxs65AC1Qf5kPS5ASZ4AaABAg
50,,@Mr.Scorp_The_GOAT,"2024-04-07 03:24:21",0,no,no,"I think if schools taught with these type of edits I am damn sure that the country's development will skyrocket",UCdtpzkDwHuyVkY6UmBhBDAA,UgwxcoeL2ODRFuV0qbJ4AaABAg,https://www.youtube.com/watch?v=aoe6BC6TZMg&lc=UgwxcoeL2ODRFuV0qbJ4AaABAg
51,,@_itzderek,"2024-04-07 05:11:01",0,no,no,"and what created those are G.O.D❤️‍🔥",UCZ_jMf5y4VxeIvCgHB_I-ag,UgxQ0ew6qTFcuy2LLiR4AaABAg,https://www.youtube.com/watch?v=aoe6BC6TZMg&lc=UgxQ0ew6qTFcuy2LLiR4AaABAg
52,,@HeroGamer-ir5vc,"2024-04-07 05:42:38",1,no,no,"Dark matter= gojo's blue
Dark energy= gojo's reversel red
It means gojo's holy purple is univers
Because blue+reversal red=holy 
purple
Dark matter+dark energy=universe 😅😅😅",UCKZmpYAlJbUsGXUXVw_-E7Q,UgzoS0KT0jMXkbg8F9d4AaABAg,https://www.youtube.com/watch?v=aoe6BC6TZMg&lc=UgzoS0KT0jMXkbg8F9d4AaABAg
