Exported by,ExportComments.com,,,,,,,
Source URL,https://youtube.com/shorts/PVbGO_SdyPs?si=dUapxM6k3Vh_lMGO,,,,,,,
Timezone,,,,,,,,
,,,,,,,,
Some Comments may not appear here because of their privacy settings,,,,,,,,
,,,,,,,,
,,Name (click to view profile),Date,Likes,isHearted,isPinned,Comment,(view source)
64,,@amankumar-cy8ko,18/06/23 15:18:21,0,no,no,?????? ?? ?????? ?? ?????? ??? ?? ???? ?? ?? ?????? ??? ?? ????? ?? ???? ?? ?? ?????? ?? ?? ????? ?? ???? ?? ????? ???? ???? ?????? ?? ???? ???? ?? ?,view comment
65,,@gyan-vigyan-rcc,18/06/23 15:25:23,1,no,no,Don't forget lord Shiva.,view comment
66,,@anishbhatnagar5932,18/06/23 15:25:48,0,no,no,It is described in ancient Hindu Dharma as KAAL TATVA which is control by MAHAKAAL who is the controller of all time in all different multiverse and their respective planets,view comment
67,,@sonuking703,18/06/23 16:35:32,0,no,no,https://youtube.com/@Dheerj-jq3qe???,view comment
68,,@rahul-jo9ye,18/06/23 16:59:09,6,no,no,Black hole or dark matter main kya difference hai .,view comment
69,,@raghuram9481,19/06/23 02:15:29,0,no,no,Dark matter vs anti matter vs matter,view comment
70,,@kartiktiwari7924,19/06/23 03:08:47,0,no,no,73% Or 95%,view comment
71,,@sunilsaliantulunad3408,19/06/23 05:20:50,0,no,no,Dark matter 73%,view comment
72,,@roopammishra31july,19/06/23 06:11:21,0,no,no,"Astronaut nhi bro, scientists.",view comment
73,,@the_amanverma_,19/06/23 06:30:13,0,no,no,astronaut?  baak BKL,view comment
74,,@JayshreeRam.ShivSati,19/06/23 06:34:08,0,no,no,?????,view comment
75,,@rse5143,19/06/23 06:37:44,0,no,no,Gravity is nothing but dark matter and the centre of every galaxy are black holes just like sun is our star black holes are the stars of galaxies,view comment
76,,@bisworanjanpradhan108,19/06/23 06:55:56,0,no,no,Ye Kali adiparaskti Ki power he he,view comment
77,,@sandeep-lo7sd,19/06/23 09:03:58,0,no,no,Chutiye astronute nahi astromer????,view comment
78,,@syhjada1032,19/06/23 09:55:45,0,no,no,Mashallah ??????,view comment
79,,@mrkps1986,19/06/23 10:52:31,1,no,no,"Need engineering research videos in hindi , it's the need for Indian society and present situation",view comment
80,,@kounak1874,19/06/23 11:49:46,0,no,no,Bhai astronaut Nehi astronomer ??,view comment
81,,@mehertech6100,19/06/23 13:17:29,0,no,no,Isse aam logon ko kya faida hoga,view comment
82,,@trikalmahakal,19/06/23 13:19:21,0,no,no,He ek uric acid crystals jaisa hai,view comment
83,,@niputhefitnessfreak2249,19/06/23 13:25:01,0,no,no,Om namah shivai.....,view comment
84,,@_IamHarsh,19/06/23 13:44:42,0,no,no,"Sir baat hai , bas aaise hi puchh rha ki pure universe ke samne humari Prithvi to ek atom se bhi chhota lagta hai ,to kya isse trah humare liye jo chiz atom hai usme bhi duniya ho sakti hai !??",view comment
85,,@Galib-It,19/06/23 14:01:22,0,no,no,Its will austromonars not austronots !,view comment
86,,@piyushmandal07,19/06/23 14:12:00,0,no,no,Copied and dubbed from @astrokobi  ??,view comment
87,,@TechnoMath,19/06/23 14:22:42,0,no,no,Charo taraf ghoom Raha hai. ???? Bhai konsa square planet dhoondh liya tumne?,view comment
88,,@darshattamore9744,19/06/23 14:28:54,2,no,no,Etne bade bhramand me humara earth ek chotishi dhul ke barabar he....?,view comment
89,,@itiswhatitis7384,19/06/23 14:30:21,2,no,no,Bhai ab plz Southern ring nebula pai video dalo btw love your videos?,view comment
90,,@arkglow8223,19/06/23 14:30:47,0,no,no,U r wrong . Dark matters mystry solved. Its nothing but normal matter which stay in 5th dimensions. Ik know your indian audience already fool. Dont make them more lol,view comment
91,,@worldseriesstudywithsk,19/06/23 14:37:14,0,no,no,??,view comment
92,,@shouvikroy4685,19/06/23 18:26:03,0,no,no,Astronaut nai...Astrophysicists and Theoretical physicists and scientists. Kuch bhi bol rhe ho science ke naam pe.,view comment
93,,@CHANDRAPRAKASH-bb3sx,19/06/23 19:15:43,13,no,no,"Bhai aapki aawaz bahut achchi he,,ekdum professional ??",view comment
94,,@hayat_hub,19/06/23 19:27:23,0,no,no,What if our solar system and milky way is inside a dark hole or a dark matter?,view comment
95,,@billabriyah2574,19/06/23 20:34:23,0,no,no,Indian Gol gappa selling Scientists ??????????,view comment
96,,@adamwalker8173,19/06/23 22:23:12,0,no,no,I thought stars are the center of a system and don’t orbit anything but things orbit it,view comment
97,,@vlogersadda7625,20/06/23 00:23:39,0,no,no,"Dark matter is god Shiva, he can Generate and also can Destroy as dark matter",view comment
98,,@Hypocrisybreaker,20/06/23 01:40:08,0,no,no,Shiva is the dark matter..??,view comment
